ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,496.1,585.3,503.0,495.8,320.0
1,558.5,641.9,625.1,515.9,600.0
2,493.1,566.6,534.7,512.0,520.0
3,410.9,534.4,371.1,437.6,340.0
4,453.5,577.9,585.8,545.8,580.0
5,564.9,619.4,579.9,484.5,760.0
6,459.8,484.7,478.1,537.8,560.0
7,407.8,538.8,492.8,516.5,340.0
8,514.1,543.8,532.1,482.7,340.0
9,572.7,675.5,669.2,631.8,720.0
10,538.0,660.0,579.3,732.0,580.0
11,591.9,613.8,592.4,625.6,840.0
12,445.7,497.0,421.7,398.3,460.0
13,567.7,644.2,520.4,726.4,900.0
14,428.2,420.7,532.7,406.3,340.0
15,451.6,400.2,479.5,563.6,360.0
16,651.7,668.7,601.5,706.0,840.0
17,597.3,653.6,600.5,647.7,700.0
18,421.6,629.2,605.8,445.3,360.0
19,456.3,559.4,518.8,612.9,560.0
20,515.1,445.0,532.4,455.8,620.0
21,574.3,644.1,604.4,650.5,600.0
22,573.1,626.2,571.8,522.6,560.0
23,362.5,554.7,444.6,461.5,320.0
24,495.5,432.4,410.3,504.7,380.0
25,480.5,616.0,480.8,736.2,520.0
26,393.8,475.5,407.9,439.4,260.0
27,523.4,607.3,554.5,514.9,360.0
28,383.4,439.4,455.3,588.1,0.0
29,406.3,539.5,448.0,422.6,380.0
30,478.8,588.3,500.4,386.3,660.0
31,612.8,671.8,711.7,616.9,880.0
32,569.2,620.5,548.5,675.9,680.0
33,549.2,609.4,550.9,494.3,600.0
34,528.9,606.0,550.7,582.0,500.0
35,439.2,474.8,394.3,511.1,320.0
36,428.8,552.6,428.8,498.6,360.0
37,517.6,543.2,473.8,518.0,540.0
38,526.8,590.4,501.5,465.0,400.0
39,414.3,580.1,386.8,552.3,360.0
40,494.0,504.9,456.9,448.5,480.0
41,410.3,630.5,528.3,491.3,340.0
42,484.5,588.1,554.6,673.5,400.0
43,405.7,447.4,472.8,454.8,340.0
44,673.8,711.4,666.8,712.2,960.0
45,424.4,398.0,405.7,394.7,320.0
46,417.7,538.3,442.7,387.6,640.0
47,466.4,454.5,465.5,422.6,520.0
48,373.2,461.0,461.7,452.0,440.0
49,530.9,596.6,539.7,440.3,580.0
50,488.3,496.3,496.1,456.2,320.0
51,369.0,496.1,468.7,474.1,520.0
52,454.7,414.8,579.3,663.3,600.0
53,430.6,619.1,541.5,449.6,520.0
54,469.2,623.6,553.4,643.5,520.0
55,424.5,637.4,555.9,657.7,500.0
56,479.7,445.3,445.7,429.0,580.0
57,542.5,568.1,613.1,539.2,440.0
58,511.7,597.9,577.2,598.1,480.0
59,506.8,662.3,575.4,787.9,680.0
60,538.1,407.9,504.8,496.1,640.0
61,388.0,516.7,422.8,477.4,380.0
62,401.8,490.2,401.6,462.1,320.0
63,433.5,598.9,523.5,550.7,520.0
64,511.9,591.5,563.1,437.4,640.0
65,462.8,426.8,511.3,446.2,0.0
66,507.5,609.3,522.0,435.8,360.0
67,408.1,426.8,435.1,529.5,380.0
68,465.2,447.5,464.0,455.4,340.0
69,420.1,572.2,610.3,575.2,640.0
70,541.5,578.4,559.7,589.8,580.0
71,575.0,640.9,587.8,661.7,640.0
72,452.8,548.7,534.3,538.9,560.0
73,505.8,570.7,504.8,506.7,360.0
74,521.3,647.8,589.4,637.0,540.0
75,421.2,572.1,531.3,450.6,380.0
76,445.9,609.8,529.2,485.9,260.0
77,481.0,447.1,554.7,586.3,340.0
78,528.8,628.0,524.2,469.5,760.0
79,522.1,640.4,572.9,597.3,760.0
80,432.7,564.8,562.9,525.6,500.0
81,631.1,614.3,579.4,672.0,360.0
82,435.4,483.4,496.2,422.1,620.0
83,503.9,448.1,506.7,444.9,480.0
84,469.0,527.2,414.8,468.3,400.0
85,490.1,593.0,512.4,497.9,640.0
86,494.5,524.8,561.0,410.0,560.0
87,496.4,584.6,406.4,460.5,580.0
88,444.3,461.0,472.3,504.7,340.0
89,454.0,511.7,412.9,517.9,400.0
90,516.0,553.6,414.3,457.0,340.0
91,390.1,539.2,580.1,598.6,560.0
92,497.3,641.6,536.7,470.4,440.0
93,546.7,414.4,501.6,431.7,440.0
94,578.8,619.1,600.9,684.5,640.0
95,559.2,675.5,599.7,627.7,520.0
96,462.2,607.5,481.8,534.5,300.0
97,496.5,432.8,471.9,496.7,360.0
98,409.1,545.5,526.2,470.6,740.0
99,491.2,583.1,492.4,556.0,540.0
100,605.6,644.4,676.7,781.3,680.0
101,465.0,603.0,539.2,436.7,360.0
102,541.7,570.6,560.8,575.7,600.0
103,548.4,667.6,590.0,657.1,560.0
104,443.5,577.8,492.8,583.9,600.0
105,635.7,690.6,640.8,746.3,880.0
106,667.0,668.8,625.5,797.0,760.0
107,650.5,625.9,677.4,675.7,880.0
108,382.9,536.5,458.3,411.4,540.0
109,679.1,687.1,633.3,738.8,840.0
110,467.4,623.6,542.5,436.3,600.0
111,429.9,570.6,465.9,401.5,360.0
112,506.5,534.0,534.2,484.6,640.0
113,522.8,699.7,611.0,654.3,520.0
114,474.2,496.7,514.1,408.6,560.0
115,412.5,580.7,543.3,459.3,360.0
116,553.2,545.5,438.4,545.4,320.0
117,518.3,578.4,496.9,598.7,520.0
118,588.1,643.7,570.8,719.0,840.0
119,511.3,608.2,572.2,552.7,620.0
120,507.3,600.4,569.2,506.4,400.0
121,500.2,440.3,414.1,483.0,640.0
122,391.9,588.5,564.2,396.7,580.0
123,610.8,668.0,621.8,726.5,900.0
124,456.2,563.6,435.0,522.7,400.0
125,520.2,632.8,567.9,488.8,700.0
126,555.5,510.4,388.0,434.1,460.0
127,489.5,548.2,486.2,478.4,340.0
128,517.1,591.1,552.6,579.3,340.0
129,520.6,624.3,432.2,542.3,280.0
130,471.7,623.9,555.0,452.4,320.0
131,397.3,457.7,436.7,558.8,400.0
132,493.3,640.7,601.2,584.3,580.0
133,536.1,425.7,475.1,466.1,560.0
134,404.9,563.0,483.6,512.6,620.0
135,452.8,598.5,501.2,684.5,820.0
136,524.8,653.9,686.3,618.9,560.0
137,491.5,553.4,569.9,476.3,580.0
138,414.4,471.4,394.3,435.9,500.0
139,414.6,485.6,478.3,506.0,520.0
140,417.7,562.9,512.9,500.4,480.0
141,439.3,586.9,532.0,511.8,0.0
142,456.7,542.5,495.8,384.9,680.0
143,546.1,555.9,522.0,464.4,560.0
144,400.2,603.7,554.4,488.3,660.0
145,538.4,658.5,641.5,693.2,660.0
146,688.3,746.8,624.1,810.4,940.0
147,559.5,607.1,535.5,536.3,740.0
148,479.1,502.6,498.2,480.0,600.0
